dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.08876181109047905,0.09039626343948426,0.04467165951518164,0.003773785233864205,0.1516091547800825,0.0,1.0
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.08831051475266957,-0.10241119100088283,0.05329060459777647,-0.17062927192690963,-0.008276129052236373,0.95,0.05
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0828446560406036,0.08779482209571954,0.05094238530602944,-0.0025202216364831357,0.1496959493811002,0.1,0.9
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.07883688653633307,-0.07295784747343881,0.048761769750545955,-0.1822690349329775,-0.012238103023097238,1.0,0.0
diabetes,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.583965844349585,-23.91015441950185,3.358782209156991,-24.278655226175214,-16.548355720799737,1.0,0.0
diabetes,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-21.572233975099515,-23.902090437999505,3.355625537002987,-24.268960741798672,-16.5410617337001,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,2.5326962749261383e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,2.5326962749261383e-17,0.0,5.56604562162239e-17,0.0,1.5838025335668236e-16,0.0,0.2
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.5311617555001375e-17,-5.828670879282071e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,9.020562075079397e-18,0.0,4.5311617555001375e-17,-5.828670879282071e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-19.410930715850373,-21.734914652501175,3.099936041451969,-22.07014038957423,-14.845218726876464,1.0,0.0
diabetes,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-19.4084874098,-21.732341096498203,3.099872920087781,-22.067646429975415,-14.842923883125604,1.0,0.0
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,9.714451465470119e-18,0.0,4.344434768182728e-17,-5.1000870193718126e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,9.714451465470119e-18,0.0,4.344434768182728e-17,-5.1000870193718126e-17,9.71445146547012e-17,0.05,0.15
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,-9.714451465470119e-18,0.0,2.990045071786273e-17,-9.71445146547012e-17,0.0,0.1,0.0
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-9.714451465470119e-18,0.0,2.990045071786273e-17,-9.71445146547012e-17,0.0,0.1,0.0
diabetes,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.81178976789979,-19.27581029400062,3.249209158253355,-22.263864915551313,-14.907161438647927,1.0,0.0
diabetes,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.80935442205009,-19.273283788999834,3.249164175391056,-22.26141415909906,-14.904889681273472,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.05748541296428246,0.05833427728884516,0.013611406896358338,0.035932547891437336,0.08151353107984155,0.0,1.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.05708235851488479,-0.05719002436735435,0.010159803744081401,-0.07113225041510189,-0.039189357823235856,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.05207768463003757,0.051581587866904144,0.015898914678011616,0.026649042045288777,0.08244995279069911,0.0,1.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.036865925340924,-0.03680424728969528,0.0137113154646333,-0.059455604144057615,-0.014185585028392298,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.27746195355012,-23.968253912500586,3.4878999240756285,-24.349724896175214,-16.42965705099805,1.0,0.0
diabetes,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-20.908880664100614,-23.48538516750159,3.4303747139340652,-23.885320696498184,-16.146162963224107,1.0,0.0
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.06854645395748944,0.06680826926174549,0.011382787233356766,0.050374529283860145,0.08832855979780906,0.0,1.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.02109405243930157,-0.025427251805045348,0.01716196930234756,-0.050945651648240525,0.010359796687169588,0.85,0.15
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.06883368715535203,0.06968070938164339,0.014190097887001821,0.0401600732128743,0.09093929386475469,0.0,1.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.010125629321307722,0.01080401144172266,0.021908568380256184,-0.029155761779891678,0.047410576135773215,0.35,0.65
diabetes,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-17.725451868550408,-19.836792599000546,2.8503297895137476,-20.15523288344939,-13.528888218901285,1.0,0.0
diabetes,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-17.249691250300383,-19.286629939499107,2.8188184614573797,-19.69697788047797,-13.08055770669962,1.0,0.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.07053407931695792,0.07017113880317172,0.010673468435115649,0.051752511088376585,0.08860790371913602,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.02096478044537231,0.01851959307077644,0.013270021269638577,0.002813811759560081,0.04151123204795653,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.07129166609102884,0.06986716049973357,0.014373113240866507,0.04992771220288448,0.09724781503452214,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.05131322903080835,0.045212532671337013,0.023558864634198522,0.02338414325060044,0.09397709249082788,0.0,1.0
diabetes,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-13.063509384400641,-12.362370816497787,2.189771751993353,-15.887744211850896,-10.608967127827055,1.0,0.0
diabetes,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-12.662273631350399,-11.87402646999908,2.1644412240913704,-15.490595417425265,-10.295958894298384,1.0,0.0
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.08438348893426813,0.09121524509197079,0.037627741494214204,0.010445078742543325,0.13102188185721694,0.0,1.0
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.08426107309540215,-0.08937915006757999,0.05862147472027147,-0.19323344930625624,0.005526970414648908,0.9,0.1
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.07073805780156533,0.091022752018246,0.05760014983504983,-0.030461749978005406,0.15812387662956762,0.15,0.85
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.07862729796050634,-0.07316759533362738,0.06839460296646274,-0.2293326925008048,0.005579223325959767,0.9,0.1
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-20.67681491700023,-21.23595247999947,3.5409025551947835,-24.306676295324273,-16.519169966250775,1.0,0.0
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-20.664666326400585,-21.221319481001046,3.537068239984936,-24.287389856299345,-16.513827131100335,1.0,0.0
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,-2.355754480376504e-16,0.0,1.0759360348506e-15,-2.5703397743548348e-15,9.71445146547012e-17,0.15,0.15
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-2.355754480376504e-16,0.0,1.0759360348506e-15,-2.5703397743548348e-15,9.71445146547012e-17,0.15,0.15
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,-1.8492152253912763e-16,0.0,8.050384813937702e-16,-1.936818760928105e-15,5.100087019371799e-17,0.15,0.05
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-1.8492152253912763e-16,0.0,8.050384813937702e-16,-1.936818760928105e-15,5.100087019371799e-17,0.15,0.05
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.920755958099107,-19.434418596501928,3.2725207082946954,-22.39356905517325,-15.06647426592408,1.0,0.0
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.918347247699604,-19.431820402502126,3.2724951126917334,-22.3910465719242,-15.06418965152243,1.0,0.0
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.00010028290805259923,0.0,0.00044847879877380864,0.0,0.0010529705345520754,0.0,0.3
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.00010028290805259923,0.0,0.00044847879877380864,0.0,0.0010529705345520754,0.0,0.3
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,8.598535333368997e-05,0.0,0.00038453819024689053,-5.1000870193718126e-17,0.000902846210003686,0.05,0.2
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,8.598535333368997e-05,0.0,0.00038453819024689053,-5.1000870193718126e-17,0.000902846210003686,0.05,0.2
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.79502498599995,-19.36649238100108,3.3362574663927442,-22.220851884524652,-14.934917208773186,1.0,0.0
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.79260835665009,-19.36394810099955,3.336210170959295,-22.21832917729789,-14.932649662650329,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.06624912202302997,0.0641578562636505,0.014910603663188166,0.04056893664657529,0.09300482665898994,0.0,1.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.059138115441447994,-0.05990057208668276,0.015468324623794069,-0.08361502866388779,-0.029726491329644934,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.061086403951624055,0.06264063382692009,0.02147176475108963,0.022185425542866465,0.09772180829173416,0.0,1.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.03538182368076404,-0.034872355849139725,0.014570367601398489,-0.06058518983666011,-0.0132928803167699,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.389943139050047,-24.0023782474982,3.390001511618211,-24.2118944071507,-16.555443168101192,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-21.069857543950093,-23.624517694001042,3.379186161544914,-23.96794800847483,-16.279130064198945,1.0,0.0
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.06787946205854146,0.06686831822057077,0.011675808196876889,0.05164340631769812,0.09192342757594175,0.0,1.0
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.011313320366599012,-0.01245459951359873,0.01466006746811978,-0.0386455390207071,0.016708151864846046,0.85,0.15
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.06415120394004811,0.06447933248147036,0.014336700989670706,0.04373130266248865,0.0913534525090839,0.0,1.0
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.037399585760194594,0.031087767831702084,0.036515164133960554,-0.012333507190715876,0.12016604489706463,0.1,0.9
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-17.000239270799284,-17.524746351498834,3.002024224513474,-20.074670713571777,-13.463988884324227,1.0,0.0
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-16.558391129448864,-17.013892620998377,2.992545825858896,-19.64795350377235,-13.042598376248225,1.0,0.0
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.06812918963368651,0.06715463454557657,0.0081921730589462,0.05687192663470294,0.08417804712285944,0.0,1.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.01311178355739676,0.014761875542035896,0.011480597051989632,-0.00648109552142064,0.02990630985058861,0.2,0.8
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.06294056788132951,0.06275982280531323,0.008407507855421052,0.05173824851422724,0.08055858732502895,0.0,1.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.03792821898739228,0.03875726650340083,0.019430720884711556,0.003011677488376369,0.07083022796593631,0.05,0.95
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-13.378521868998906,-13.77853808349937,2.4489258911118092,-15.918974757099296,-10.564969310147898,1.0,0.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-13.260777951399541,-13.506481993999842,2.4620130082020735,-15.84817599540029,-10.380348842646526,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.11455265874207496,0.1092148361757308,0.026036202662046776,0.07891230491510254,0.1681801619710044,0.0,1.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.07525703367316339,-0.07070287785790436,0.02644400699939217,-0.13293723410903457,-0.04483722011994392,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.1235305087536663,0.11386251825632326,0.03183862839518792,0.08718588990807599,0.18955811039268847,0.0,1.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.09243295780262631,-0.08380663414064979,0.03026528625659523,-0.15443997440923274,-0.056760686437881645,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-198.9989794596013,-224.0102389700023,30.809395921174538,-227.57218353162625,-155.95747949015185,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-198.8850304617503,-223.88855625550056,30.801034019357747,-227.45120692879945,-155.85334813192713,1.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,4.4408920985006264e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,4.4408920985006264e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-171.0602844234505,-191.1320584260011,25.91533061570803,-194.4645373720484,-132.92418788735148,1.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-171.04679464469956,-191.11805196100067,25.914974371698936,-194.4507930119752,-132.91177108987367,1.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,-2.2204460492503132e-17,0.0,2.266710310712307e-16,-4.662936703425657e-16,2.3314683517128224e-16,0.05,0.05
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-2.2204460492503132e-17,0.0,2.266710310712307e-16,-4.662936703425657e-16,2.3314683517128224e-16,0.05,0.05
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-168.09724277885016,-191.6111233665015,28.324397789983667,-195.43838847079994,-132.6703170190247,1.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-168.08379041150002,-191.597328256501,28.32394563176222,-195.4246581768001,-132.65790949554776,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.032561928913287984,0.03421497663216494,0.0048895959933245,0.023100780054914765,0.03858039466004924,0.0,1.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.04285380656872485,-0.043011403790103236,0.002748637878245278,-0.047173004349140436,-0.03761682483806854,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.03158026511494132,0.031515342868293716,0.00597207050798386,0.022223678174865424,0.0440297520676334,0.0,1.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.05269159069501039,-0.0527504359173514,0.004699998380203276,-0.06099215041102189,-0.04431835589978317,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-201.23162768354987,-205.83326579299955,34.36289888793863,-238.6956773233753,-144.20033606189946,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-200.36982913384963,-205.02767340599712,34.290850045032876,-237.8924233480258,-143.5416153695248,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.09893962992686692,0.09609203265767527,0.00835003817687336,0.08567923211411291,0.11490798157414346,0.0,1.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.05406980210519713,-0.0535277868196023,0.0034610164489783817,-0.06003566204875897,-0.04803654363361516,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.10841716640732421,0.10624933427968436,0.010534428214239985,0.09319178330331396,0.12736045310263502,0.0,1.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.06774689137688544,-0.06734002338196929,0.0048962132105809545,-0.07637485583109377,-0.059133458459301055,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-164.92651436095102,-175.30910191300063,22.180282284518476,-188.259553179227,-129.02188102037553,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-162.44953890485021,-173.2397865064995,22.22864823260268,-186.10234888852568,-126.61325618912402,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.1611773866285548,0.16015821841945008,0.00962152988164492,0.14639725474611726,0.18120465402381938,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.04958217086071211,-0.05003426548963505,0.005353515811087207,-0.05886711849062803,-0.04043059356679443,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.18316170678445318,0.18207396805459475,0.012267508219071601,0.16444223538017116,0.20735035259714313,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.06252312897013017,-0.06263380500003429,0.00679237973246262,-0.07344783420848121,-0.05046896607523472,1.0,0.0
