dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
diabetes,MAR,block,0.1,5,1000x50,1,0.7775934090676201,0.7667850231123896,0.7904815906321494
diabetes,MAR,block,0.1,5,1000x50,2,0.6897110833731115,0.6659010921897801,0.710460184015534
diabetes,MAR,block,0.1,5,1000x50,3,0.6039728678799035,0.5718475511307733,0.6239682021068605
diabetes,MAR,block,0.1,5,1000x50,4,0.5198155499215764,0.4851756304574698,0.5397641809896143
diabetes,MAR,block,0.1,5,1000x50,5,0.4536442546492693,0.41295433857919317,0.4804788067506435
diabetes,MAR,block,0.1,5,1000x50,6,0.36112725419509834,0.3102929228922796,0.39538975241399926
diabetes,MAR,block,0.1,5,1000x50,7,0.2259854255940787,0.17815102523256368,0.2623321545798086
diabetes,MAR,block,0.1,5,1000x50,8,0.10539726605432709,0.07618867889845703,0.1263985555309753
diabetes,MAR,block,0.1,5,1000x50,9,0.1013276752388624,0.053381716592723685,0.13343557359017635
diabetes,MAR,block,0.1,5,1000x50,10,0.0806592745852937,0.0519264598693707,0.10653863997093237
diabetes,MAR,block,0.3,5,1000x50,1,0.7659319162356532,0.7351863127878824,0.7980809498769833
diabetes,MAR,block,0.3,5,1000x50,2,0.672135528005998,0.6182808477811439,0.7172173290529458
diabetes,MAR,block,0.3,5,1000x50,3,0.583867082275653,0.5031974948645346,0.647093428159724
diabetes,MAR,block,0.3,5,1000x50,4,0.5048859123861515,0.42376756507941493,0.5793804403618865
diabetes,MAR,block,0.3,5,1000x50,5,0.4262613163820671,0.31808137774275,0.5323938544348812
diabetes,MAR,block,0.3,5,1000x50,6,0.29389445404081316,0.11416564283383034,0.473397227505481
diabetes,MAR,block,0.3,5,1000x50,7,0.13130763414465835,0.04438350654695073,0.31863323186378145
diabetes,MAR,block,0.3,5,1000x50,8,0.13128423807471185,0.040680229768985506,0.3250914507370844
diabetes,MAR,block,0.3,5,1000x50,9,0.04388454005144829,0.03793133827956458,0.07080692755152455
diabetes,MAR,block,0.3,5,1000x50,10,0.0451909727909396,0.04257108574507889,0.046483655928947085
diabetes,MAR,block,0.5,5,1000x50,1,0.7778442132799953,0.7477554649332439,0.8106761118497967
diabetes,MAR,block,0.5,5,1000x50,2,0.680739896307718,0.6263432345311373,0.7364265760230179
diabetes,MAR,block,0.5,5,1000x50,3,0.597244560890271,0.5217660957703826,0.6745391807734926
diabetes,MAR,block,0.5,5,1000x50,4,0.5086569540358633,0.41986436601574134,0.6180170329571506
diabetes,MAR,block,0.5,5,1000x50,5,0.42824002970931946,0.3068850721580601,0.5825180086925232
diabetes,MAR,block,0.5,5,1000x50,6,0.29501523457435996,0.11443229389709464,0.53229282321597
diabetes,MAR,block,0.5,5,1000x50,7,0.15818859314636682,0.044355763716091276,0.5189188487108514
diabetes,MAR,block,0.5,5,1000x50,8,0.14017567594085356,0.040724525755820126,0.5042365943701201
diabetes,MAR,block,0.5,5,1000x50,9,0.07696281495212694,0.03810151310801488,0.14368716127594816
diabetes,MAR,block,0.5,5,1000x50,10,0.05593792853605945,0.04258648551559896,0.1136774486287567
diabetes,MAR,random,0.1,5,1000x50,1,0.7758589977768258,0.77192227765113,0.7794653231550269
diabetes,MAR,random,0.1,5,1000x50,2,0.6879346729462924,0.6839565958968141,0.6916268460727472
diabetes,MAR,random,0.1,5,1000x50,3,0.6020561360416368,0.5970778637110458,0.6067323341436651
diabetes,MAR,random,0.1,5,1000x50,4,0.5178784879276892,0.5121660187494651,0.5219271233289753
diabetes,MAR,random,0.1,5,1000x50,5,0.4570026735818792,0.4493374521089742,0.4628160315046529
diabetes,MAR,random,0.1,5,1000x50,6,0.37411355217135,0.3594731774984402,0.38978968594166724
diabetes,MAR,random,0.1,5,1000x50,7,0.25733822357242697,0.24383878705385315,0.2677218981232321
diabetes,MAR,random,0.1,5,1000x50,8,0.10071819428708768,0.09608706945992532,0.10385400418554386
diabetes,MAR,random,0.1,5,1000x50,9,0.1012263155119451,0.09656128644679196,0.10437950499121997
diabetes,MAR,random,0.3,5,1000x50,1,0.7669465231269159,0.757432329906678,0.7734582168791355
diabetes,MAR,random,0.3,5,1000x50,2,0.676263794489451,0.6623909826441535,0.6821299802736013
diabetes,MAR,random,0.3,5,1000x50,3,0.5858228791537083,0.5736041265882809,0.5955554376490213
diabetes,MAR,random,0.3,5,1000x50,4,0.4989231898922986,0.48355115924021064,0.5123484014443507
diabetes,MAR,random,0.3,5,1000x50,5,0.4256273855918593,0.410956404513761,0.4505062719792572
diabetes,MAR,random,0.3,5,1000x50,6,0.3270470382318996,0.2988464932187946,0.35555920076125286
diabetes,MAR,random,0.3,5,1000x50,7,0.20319766642302967,0.1770030002820394,0.23604549570910427
diabetes,MAR,random,0.3,5,1000x50,8,0.09596631829329261,0.08582987823464812,0.10811213479175147
diabetes,MAR,random,0.3,5,1000x50,9,0.09810935808301521,0.08771831775835091,0.11037859712931461
diabetes,MAR,random,0.5,5,1000x50,1,0.7540217936701974,0.7409521544597644,0.7680060353036294
diabetes,MAR,random,0.5,5,1000x50,2,0.6594794095459827,0.6424692219924804,0.682616018748435
diabetes,MAR,random,0.5,5,1000x50,3,0.5600953177237933,0.5352905598451358,0.5841590766110184
diabetes,MAR,random,0.5,5,1000x50,4,0.47628592461705227,0.4566029238012519,0.4934310101637839
diabetes,MAR,random,0.5,5,1000x50,5,0.39401032440054795,0.35793939224018534,0.41269030900452586
diabetes,MAR,random,0.5,5,1000x50,6,0.29914752325337257,0.26854259642345785,0.32234463913951267
diabetes,MAR,random,0.5,5,1000x50,7,0.20775036740743708,0.16970924089573583,0.23287090955105177
diabetes,MAR,random,0.5,5,1000x50,8,0.15795795952523134,0.12590160861665095,0.19258087014114447
diabetes,MAR,random,0.5,5,1000x50,9,0.17257197302696328,0.13884333810195096,0.2130076419985249
diabetes,MCAR,block,0.1,5,1000x50,1,0.7794296569491684,0.7649559474497662,0.794373658031509
diabetes,MCAR,block,0.1,5,1000x50,2,0.6927667162492643,0.6648527765656701,0.7170985816216429
diabetes,MCAR,block,0.1,5,1000x50,3,0.6075459102087946,0.5670397438901169,0.6385972347349724
diabetes,MCAR,block,0.1,5,1000x50,4,0.522679676292305,0.4870497334400618,0.5575877010738333
diabetes,MCAR,block,0.1,5,1000x50,5,0.45824275868400194,0.41298780322423473,0.5052619163686111
diabetes,MCAR,block,0.1,5,1000x50,6,0.36606362803868714,0.30011986951654807,0.4299906981198498
diabetes,MCAR,block,0.1,5,1000x50,7,0.23266034823790252,0.16304482517611218,0.31803782028091765
diabetes,MCAR,block,0.1,5,1000x50,8,0.10124303754083948,0.07122607369321253,0.1170099707172364
diabetes,MCAR,block,0.1,5,1000x50,9,0.10244433600099559,0.06937084223132488,0.12828374846269694
diabetes,MCAR,block,0.1,5,1000x50,10,0.08977447815641064,0.07311508457359066,0.10719471006984112
diabetes,MCAR,block,0.3,5,1000x50,1,0.7776254199103725,0.7534679876659277,0.8101876957862566
diabetes,MCAR,block,0.3,5,1000x50,2,0.6760699108578445,0.6359952627117695,0.7343414628306045
diabetes,MCAR,block,0.3,5,1000x50,3,0.5828453192687209,0.5244262451549777,0.6702881543204082
diabetes,MCAR,block,0.3,5,1000x50,4,0.486618685224016,0.4209724379380743,0.6071442599320301
diabetes,MCAR,block,0.3,5,1000x50,5,0.3936246248825003,0.30572223680945904,0.5718415095563636
diabetes,MCAR,block,0.3,5,1000x50,6,0.24770984277287672,0.11420806672426694,0.5228135753492513
diabetes,MCAR,block,0.3,5,1000x50,7,0.12969806412834495,0.04616313912605983,0.4419811483030851
diabetes,MCAR,block,0.3,5,1000x50,8,0.12839735167280747,0.04233756781490648,0.44412007143470966
diabetes,MCAR,block,0.3,5,1000x50,9,0.07515380252779882,0.038942620513803074,0.11677845506267807
diabetes,MCAR,block,0.3,5,1000x50,10,0.058603177548827545,0.04319075624512037,0.11576118205033924
diabetes,MCAR,block,0.5,5,1000x50,1,0.7746103457764493,0.7450917464244531,0.804564701937717
diabetes,MCAR,block,0.5,5,1000x50,2,0.6804497120776931,0.6256350338805354,0.7169664605887911
diabetes,MCAR,block,0.5,5,1000x50,3,0.595529011874061,0.5150967645516308,0.6492521714916776
diabetes,MCAR,block,0.5,5,1000x50,4,0.5093513666773779,0.41742776987469,0.5795017818127431
diabetes,MCAR,block,0.5,5,1000x50,5,0.42920384121137517,0.30134574869499114,0.5264043497694413
diabetes,MCAR,block,0.5,5,1000x50,6,0.2949761644701963,0.11445208569803487,0.4400932566196387
diabetes,MCAR,block,0.5,5,1000x50,7,0.11717834986127976,0.04434930143302205,0.3039418704170962
diabetes,MCAR,block,0.5,5,1000x50,8,0.1164691667211184,0.04070910579108394,0.3061172349230449
diabetes,MCAR,block,0.5,5,1000x50,9,0.06974025996752645,0.03807458751110395,0.15478560804649066
diabetes,MCAR,block,0.5,5,1000x50,10,0.044370000391353574,0.04269218586142421,0.04811908665225064
diabetes,MCAR,random,0.1,5,1000x50,1,0.7779775484564608,0.7729300512919648,0.7833525451630303
diabetes,MCAR,random,0.1,5,1000x50,2,0.6896035784761697,0.6819326533191797,0.6949258370285178
diabetes,MCAR,random,0.1,5,1000x50,3,0.6034812083401286,0.5959811538256076,0.6107311268754202
diabetes,MCAR,random,0.1,5,1000x50,4,0.51916375103982,0.5101140794330822,0.5262709325195605
diabetes,MCAR,random,0.1,5,1000x50,5,0.45570699542245696,0.4466579137282728,0.46542217134271296
diabetes,MCAR,random,0.1,5,1000x50,6,0.37417741596972687,0.36510748992152847,0.37970999750952233
diabetes,MCAR,random,0.1,5,1000x50,7,0.2582890609970089,0.24893327887930225,0.26608086933414943
diabetes,MCAR,random,0.1,5,1000x50,8,0.10239089238306875,0.09925771443963252,0.10567172656335162
diabetes,MCAR,random,0.1,5,1000x50,9,0.10289175271240669,0.09971496741957066,0.10621906109064735
diabetes,MCAR,random,0.3,5,1000x50,1,0.769253140403148,0.7620491379278084,0.7833034483432282
diabetes,MCAR,random,0.3,5,1000x50,2,0.6818778341161563,0.6704547254203005,0.696786566208457
diabetes,MCAR,random,0.3,5,1000x50,3,0.5915144611139724,0.5746178334269207,0.6111215455449561
diabetes,MCAR,random,0.3,5,1000x50,4,0.498656728509565,0.4842151083347136,0.5168516024818847
diabetes,MCAR,random,0.3,5,1000x50,5,0.42510149870438463,0.40757729123859265,0.4414348678690062
diabetes,MCAR,random,0.3,5,1000x50,6,0.3289697694462671,0.30308115580417994,0.34499808034738927
diabetes,MCAR,random,0.3,5,1000x50,7,0.20737279596054484,0.18846725613138948,0.2309353568227826
diabetes,MCAR,random,0.3,5,1000x50,8,0.09917995778002385,0.08796287748270584,0.10839547808837594
diabetes,MCAR,random,0.3,5,1000x50,9,0.10174866689654598,0.09012616725248224,0.11159919710923667
diabetes,MCAR,random,0.5,5,1000x50,1,0.7596470893273088,0.7490785155794116,0.7751603396843508
diabetes,MCAR,random,0.5,5,1000x50,2,0.6700213887703443,0.657433878348283,0.6925059998524119
diabetes,MCAR,random,0.5,5,1000x50,3,0.5746641311096762,0.5553026440445769,0.6071063649648237
diabetes,MCAR,random,0.5,5,1000x50,4,0.4786952615780562,0.45236638134876334,0.5032296901111288
diabetes,MCAR,random,0.5,5,1000x50,5,0.39310065087711976,0.361903148649794,0.4178729851162518
diabetes,MCAR,random,0.5,5,1000x50,6,0.29910900181013955,0.2708807801154888,0.33399780272604834
diabetes,MCAR,random,0.5,5,1000x50,7,0.21435286149755822,0.17712911353826458,0.2632896181476651
diabetes,MCAR,random,0.5,5,1000x50,8,0.19180374923285942,0.15181080813439674,0.25132986517369604
diabetes,MCAR,random,0.5,5,1000x50,9,0.20783570668354598,0.16781792754749594,0.2759043726556197
synthetic,MAR,block,0.1,5,1000x50,1,0.8930039944275248,0.8753617609897457,0.9089658585819286
synthetic,MAR,block,0.1,5,1000x50,2,0.7913994242635332,0.7629406290985444,0.8178491932638732
synthetic,MAR,block,0.1,5,1000x50,3,0.6917217265821258,0.6650962377177589,0.7213955457398844
synthetic,MAR,block,0.1,5,1000x50,4,0.5909787983570386,0.5626431545779094,0.624012506044559
synthetic,MAR,block,0.1,5,1000x50,5,0.48624624889016343,0.45483973170886616,0.5259141369222404
synthetic,MAR,block,0.1,5,1000x50,6,0.3751681183017007,0.3478929557088769,0.4145460024074441
synthetic,MAR,block,0.1,5,1000x50,7,0.24709663126504844,0.22637253451576864,0.28760750412229297
synthetic,MAR,block,0.1,5,1000x50,8,0.056400933647475796,0.05192569090954973,0.059091474632202774
synthetic,MAR,block,0.1,5,1000x50,9,0.0527196234311146,0.04756553950657187,0.05565765556641206
synthetic,MAR,block,0.1,5,1000x50,10,0.05098057652490322,0.046288259288235954,0.05332369514664033
synthetic,MAR,block,0.1,5,1000x50,11,0.04958877410684777,0.045365558930599924,0.05189195338369263
synthetic,MAR,block,0.1,5,1000x50,12,0.04837862472610518,0.04449510769502958,0.050584491290722726
synthetic,MAR,block,0.1,5,1000x50,13,0.047284113983137956,0.04365532174740376,0.04952126115491815
synthetic,MAR,block,0.1,5,1000x50,14,0.046292340114306864,0.04285121297705169,0.04856019621418291
synthetic,MAR,block,0.1,5,1000x50,15,0.045357805718765645,0.04196981564787072,0.04772056758566947
synthetic,MAR,block,0.1,5,1000x50,16,0.044462060887158726,0.04123716956252344,0.04693620839223885
synthetic,MAR,block,0.1,5,1000x50,17,0.04363810650099567,0.040516598652580706,0.04618473175508136
synthetic,MAR,block,0.1,5,1000x50,18,0.0428149019635779,0.03982989117264934,0.04540476331656133
synthetic,MAR,block,0.1,5,1000x50,19,0.04204076852384192,0.03917117120262564,0.044720224618612886
synthetic,MAR,block,0.1,5,1000x50,20,0.041302998980765046,0.038562094533606935,0.044047184081151894
synthetic,MAR,block,0.1,5,1000x50,21,0.04069545870328963,0.03822258093257247,0.043321210734196855
synthetic,MAR,block,0.1,5,1000x50,22,0.040274907577165994,0.03838129686979595,0.04306676503793327
synthetic,MAR,block,0.1,5,1000x50,23,0.040319561021374246,0.038430831171257104,0.04287458612824394
synthetic,MAR,block,0.1,5,1000x50,24,0.040273143310652036,0.038188690827498185,0.04304662973525572
synthetic,MAR,block,0.1,5,1000x50,25,0.039983038720877155,0.0385899177054595,0.04247498117628662
synthetic,MAR,block,0.1,5,1000x50,26,0.0394358520670526,0.0394358520670526,0.0394358520670526
synthetic,MAR,block,0.3,5,1000x50,1,0.8875607514116061,0.8713969038165874,0.8957880199494241
synthetic,MAR,block,0.3,5,1000x50,2,0.7776326357130119,0.7551279299429282,0.7983566305057601
synthetic,MAR,block,0.3,5,1000x50,3,0.6717864743509037,0.6421045956945493,0.7016524180304364
synthetic,MAR,block,0.3,5,1000x50,4,0.5655084604509446,0.5383507512300457,0.6043472459407778
synthetic,MAR,block,0.3,5,1000x50,5,0.4617760561966427,0.43235452863943924,0.5043176337313903
synthetic,MAR,block,0.3,5,1000x50,6,0.3558925372445592,0.32712199267779735,0.3946750485055926
synthetic,MAR,block,0.3,5,1000x50,7,0.2335970965442967,0.1949549183668258,0.2700234148178883
synthetic,MAR,block,0.3,5,1000x50,8,0.05487783259162112,0.049360960928196154,0.06262761905724812
synthetic,MAR,block,0.3,5,1000x50,9,0.05278741321787702,0.04779305570968325,0.059393867409559424
synthetic,MAR,block,0.3,5,1000x50,10,0.05075273878291444,0.04619986200969887,0.05685117337748627
synthetic,MAR,block,0.3,5,1000x50,11,0.049069145049684286,0.044909355087042295,0.0547680737438471
synthetic,MAR,block,0.3,5,1000x50,12,0.04763743413941806,0.04369747637784593,0.05289896810119661
synthetic,MAR,block,0.3,5,1000x50,13,0.04643637060712118,0.04269974724315097,0.05131654702114653
synthetic,MAR,block,0.3,5,1000x50,14,0.04525891279852757,0.04176498954281929,0.04985314470871268
synthetic,MAR,block,0.3,5,1000x50,15,0.044182552336818295,0.04086024707660242,0.048529697241094134
synthetic,MAR,block,0.3,5,1000x50,16,0.043183282570331535,0.040151863660966326,0.04736083051334554
synthetic,MAR,block,0.3,5,1000x50,17,0.04219821129322825,0.03937108116883908,0.04619997302481936
synthetic,MAR,block,0.3,5,1000x50,18,0.0413461890923701,0.03865277721810243,0.0450943586628138
synthetic,MAR,block,0.3,5,1000x50,19,0.04060950415370527,0.037720092802719804,0.044131700630381514
synthetic,MAR,block,0.3,5,1000x50,20,0.04026941810903283,0.03728176507373309,0.044104780064186146
synthetic,MAR,block,0.3,5,1000x50,21,0.039647153111445725,0.03653143569248095,0.0428665913935403
synthetic,MAR,block,0.3,5,1000x50,22,0.03879595676724542,0.03631590059890032,0.041830180683805875
synthetic,MAR,block,0.3,5,1000x50,23,0.0384544690931352,0.03680997939221718,0.04169749370240971
synthetic,MAR,block,0.5,5,1000x50,1,0.8836177608893457,0.8609311131101972,0.9020677193916005
synthetic,MAR,block,0.5,5,1000x50,2,0.7732448464083465,0.7458393445162164,0.800192910780699
synthetic,MAR,block,0.5,5,1000x50,3,0.6703324235854764,0.6367779906327684,0.7056215114584405
synthetic,MAR,block,0.5,5,1000x50,4,0.5629628583345921,0.5283563954696698,0.6046085598967864
synthetic,MAR,block,0.5,5,1000x50,5,0.45219173695308346,0.4159067705409242,0.4922701227355614
synthetic,MAR,block,0.5,5,1000x50,6,0.3438788866704024,0.3108909958577621,0.38299485054111204
synthetic,MAR,block,0.5,5,1000x50,7,0.22587822587973255,0.18779104048889747,0.25989498508925374
synthetic,MAR,block,0.5,5,1000x50,8,0.05520838660306397,0.05084711040314654,0.059145861557963364
synthetic,MAR,block,0.5,5,1000x50,9,0.05312598110746579,0.04897338654032954,0.05726783639705546
synthetic,MAR,block,0.5,5,1000x50,10,0.05108374352291003,0.047520099528457496,0.05527517728489162
synthetic,MAR,block,0.5,5,1000x50,11,0.0493765416118703,0.046189880430661856,0.053277920314472864
synthetic,MAR,block,0.5,5,1000x50,12,0.047965316009104156,0.044900896518390326,0.051685125931490904
